sample	celltype
12wpc_A1_c1_fetal	dosal cortex progenitor
12wpc_A1_c2_fetal	dosal cortex progenitor
12wpc_A10_c1_fetal	Unknown
12wpc_A10_c2_fetal	dosal cortex progenitor
12wpc_A11_c1_fetal	dosal cortex neuron
12wpc_A11_c2_fetal	dosal cortex neuron
12wpc_A12_c1_fetal	dosal cortex neuron
12wpc_A12_c2_fetal	dosal cortex neuron
12wpc_A2_c1_fetal	dosal cortex neuron
12wpc_A2_c2_fetal	dosal cortex neuron
12wpc_A3_c1_fetal	dosal cortex neuron
12wpc_A3_c2_fetal	dosal cortex neuron
12wpc_A4_c1_fetal	dosal cortex neuron
12wpc_A4_c2_fetal	dosal cortex neuron
12wpc_A5_c1_fetal	dosal cortex neuron
12wpc_A5_c2_fetal	neuron
12wpc_A6_c1_fetal	dosal cortex neuron
12wpc_A6_c2_fetal	dosal cortex neuron
12wpc_A7_c1_fetal	dosal cortex neuron
12wpc_A7_c2_fetal	dosal cortex neuron
12wpc_A8_c1_fetal	dosal cortex neuron
12wpc_A8_c2_fetal	dosal cortex progenitor
12wpc_A9_c1_fetal	dosal cortex progenitor
12wpc_A9_c2_fetal	dosal cortex neuron
12wpc_B1_c1_fetal	dosal cortex neuron
12wpc_B1_c2_fetal	dosal cortex neuron
12wpc_B10_c1_fetal	dosal cortex neuron
12wpc_B10_c2_fetal	dosal cortex neuron
12wpc_B11_c1_fetal	dosal cortex progenitor
12wpc_B11_c2_fetal	dosal cortex neuron
12wpc_B12_c1_fetal	dosal cortex neuron
12wpc_B2_c1_fetal	dosal cortex neuron
12wpc_B2_c2_fetal	neuron
12wpc_B3_c1_fetal	dosal cortex neuron
12wpc_B3_c2_fetal	dosal cortex neuron
12wpc_B4_c1_fetal	dosal cortex neuron
12wpc_B5_c1_fetal	dosal cortex progenitor
12wpc_B5_c2_fetal	dosal cortex neuron
12wpc_B6_c1_fetal	neuron
12wpc_B6_c2_fetal	dosal cortex neuron
12wpc_B7_c1_fetal	Unknown
12wpc_B7_c2_fetal	dosal cortex progenitor
12wpc_B8_c2_fetal	dosal cortex neuron
12wpc_B9_c2_fetal	Unknown
12wpc_c1_C1_fetal	dosal cortex neuron
12wpc_c1_C10_fetal	Unknown
12wpc_c1_C12_fetal	dosal cortex neuron
12wpc_c1_C2_fetal	dosal cortex neuron
12wpc_C1_c2_fetal	dosal cortex neuron
12wpc_c1_C3_fetal	dosal cortex neuron
12wpc_c1_C4_fetal	Unknown
12wpc_c1_C6_fetal	Unknown
12wpc_c1_C9_fetal	dosal cortex neuron
12wpc_c1_D1_fetal	dosal cortex neuron
12wpc_c1_D10_fetal	dosal cortex neuron
12wpc_c1_D11_fetal	Unknown
12wpc_c1_D12_fetal	dosal cortex progenitor
12wpc_c1_D2_fetal	dosal cortex neuron
12wpc_c1_D4_fetal	dosal cortex neuron
12wpc_c1_D5_fetal	dosal cortex progenitor
12wpc_c1_D6_fetal	neuron
12wpc_c1_D7_fetal	Unknown
12wpc_c1_D8_fetal	dosal cortex neuron
12wpc_c1_D9_fetal	dosal cortex progenitor
12wpc_c1_E1_fetal	dosal cortex neuron
12wpc_c1_E10_fetal	dosal cortex progenitor
12wpc_c1_E12_fetal	dosal cortex neuron
